,Text Length,Average Word Length,Max Word Length,% Special Characters,Language,Sentiment,Subjectivity,Toxicity,Fluency,Formality
2,94,4.277777777777778,8,0.02127659574468085,en,0.0,0.75,0.009497221559286118,0.34915268421173096,0.204132080078125
3,102,6.923076923076923,18,0.049019607843137254,en,-0.8,0.9,0.9958029389381409,0.17689168453216553,0.036638498306274414
7,78,4.642857142857143,7,0.01282051282051282,en,0.0,0.0,0.08363216370344162,0.7119591236114502,0.9113324284553528
8,84,7.5,23,0.03571428571428571,en,-0.75,1.0,0.026286616921424866,0.2724373936653137,0.12963062524795532
9,32,4.5,6,0.09375,en,0.0,0.0,0.022244786843657494,0.37056344747543335,0.1112903356552124
10,104,4.526315789473684,12,0.07692307692307693,en,-0.4666666666666666,0.48888888888888893,0.11486729979515076,0.9350174069404602,0.052821576595306396
12,143,4.538461538461538,9,0.02097902097902098,en,-0.07238095238095237,0.67,0.6319422721862793,0.7677237391471863,0.3887556195259094
16,134,4.869565217391305,11,0.05970149253731343,en,0.09999999999999999,0.4666666666666666,0.9000579714775085,0.9580875039100647,0.7441164255142212
17,96,4.105263157894737,8,0.03125,en,0.30000000000000004,0.75,0.004660327453166246,0.9611169695854187,0.6966366767883301
21,137,5.0,15,0.021897810218978103,en,0.16666666666666666,0.7666666666666666,0.000726774160284549,0.7895087599754333,0.853541374206543
22,140,5.409090909090909,14,0.007142857142857143,en,-0.016666666666666666,0.21666666666666667,0.0009211982833221555,0.5229737758636475,0.21299231052398682
24,35,5.0,8,0.08571428571428572,en,-1.0,1.0,0.11241345852613449,0.4496268630027771,0.08688443899154663
27,105,7.153846153846154,11,0.009523809523809525,en,0.2,0.4,0.006204826291650534,0.12012988328933716,0.4661942720413208
28,95,4.052631578947368,8,0.031578947368421054,en,-0.1875,0.5,0.0006136035080999136,0.9651870727539062,0.975430428981781
30,85,4.0588235294117645,8,0.023529411764705882,en,-0.2,0.8,0.004386697430163622,0.7229107022285461,0.06979143619537354
31,53,6.571428571428571,12,0.09433962264150944,en,-0.375,0.625,0.2821689248085022,0.9289422631263733,0.7444825768470764
32,94,4.9375,8,0.06382978723404255,en,0.015625,0.675,0.9567540287971497,0.8654801845550537,0.04551041126251221
35,24,5.25,10,0.0,en,0.0,0.0,0.0011170406360179186,0.555123507976532,0.2099858522415161
36,139,4.833333333333333,10,0.04316546762589928,en,0.4,0.25,0.00426226994022727,0.8460614681243896,0.4372367858886719
37,65,5.0,17,0.07692307692307693,en,0.0,0.0,0.5000205636024475,0.6882933974266052,0.008236169815063477
38,77,4.571428571428571,9,0.012987012987012988,en,-0.1833333333333333,0.5916666666666666,0.996269702911377,0.08960616588592529,0.22748297452926636
39,128,4.375,13,0.0234375,en,-0.175,0.825,0.004244000650942326,0.6776381731033325,0.4490894079208374
40,125,3.6666666666666665,9,0.032,en,0.175,0.43124999999999997,0.00201573153026402,0.33700019121170044,0.29280877113342285
41,62,3.8461538461538463,8,0.0,en,-0.15555555555555559,0.2888888888888889,0.03218197450041771,0.9503564238548279,0.09744209051132202
45,74,4.769230769230769,12,0.013513513513513514,en,-0.16111111111111112,0.85,0.541350781917572,0.4009842872619629,0.21160423755645752
47,133,5.380952380952381,14,0.015037593984962405,en,-0.05,0.4,0.005376716144382954,0.9671287536621094,0.8759733438491821
49,76,3.8125,9,0.039473684210526314,en,-0.06666666666666665,0.6,0.009501016698777676,0.2992458939552307,0.2668337821960449
52,107,3.6956521739130435,7,0.04672897196261682,en,-0.5,1.0,0.001207732013426721,0.8005800843238831,0.1630944013595581
53,89,4.294117647058823,9,0.02247191011235955,en,-0.125,0.3666666666666667,0.019706198945641518,0.34580469131469727,0.1601671576499939
54,82,4.1875,9,0.024390243902439025,en,0.85,1.0,0.001562294433824718,0.10982489585876465,0.06231653690338135
57,27,3.6666666666666665,6,0.037037037037037035,en,0.13636363636363635,0.45454545454545453,0.11194183677434921,0.7144842743873596,0.1796247959136963
58,98,5.1875,10,0.05102040816326531,en,0.25,0.875,0.0011308531975373626,0.4496976137161255,0.022050321102142334
60,58,4.9,10,0.017241379310344827,en,0.0,0.0,0.0007379005546681583,0.9687568545341492,0.9952312111854553
61,84,4.666666666666667,10,0.08333333333333333,en,-0.6,0.8,0.9916203022003174,0.905363142490387,0.10481619834899902
62,104,4.833333333333333,11,0.019230769230769232,en,-0.35,0.45,0.9948089122772217,0.309661328792572,0.1331682801246643
65,41,4.25,8,0.0,en,0.0,0.0,0.035791099071502686,0.9877691864967346,0.9791121482849121
66,122,6.6875,17,0.20491803278688525,en,0.0,0.0,0.028457749634981155,0.8383955955505371,0.061084628105163574
68,105,4.0476190476190474,7,0.047619047619047616,en,0.8,0.75,0.010342457331717014,0.19971609115600586,0.033279597759246826
69,122,4.590909090909091,10,0.01639344262295082,en,-0.1444805194805195,0.49756493506493504,0.9778335094451904,0.8229376077651978,0.3815147876739502
71,43,4.5,9,0.046511627906976744,en,0.0,0.0,0.16619932651519775,0.30059003829956055,0.9826444983482361
73,95,4.333333333333333,8,0.07368421052631578,en,0.1,0.3,0.0013752576196566224,0.7807046175003052,0.30467718839645386
